ident,name,type,latitude_d,longitude_,elevation_,LLG_Name,District_Name,Prov_name,Surveyed,strip_type,takeoff_direction,season,width,length,slope,co_ords,elevation_pb,elevation_th,spl_hz,spl_side,spl2_hz,spl2_side,side_slp,clw_1,clw_2,clw_3,clw2_1,clw2_2,clw2_3,dist_obst,dist2_obst,dsc,dsc2,surf_cvr,soil_typ,soil_moist,surf_hdn,surf_rgh,surf_und,surf_com,wind_pr,wind_set,wind_cond,cone_1,cone_2,cone_no,cone_wt,cone_yl,oth_com
AYEM,Eleme Airstrip,small_airport,-4.8141,143.9103,233,Yuat Rural LLG,Angoram District,East Sepik Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYEL,Eliptamin Airport,small_airport,-5.0412,141.6779,4825,Telefomin Rural LLG,Telefomin District,West Sepik (Sandaun) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYEU,Eloaua Airstrip,small_airport,-1.5601,149.6318,25,Murat Rural LLG,Kavieng District,New Ireland Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYEB,Embessa Airport,small_airport,-9.447,148.7628,131,Safia Rural LLG,Ijivitari District,Northern (Oro) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0006,Emirau Airport,small_airport,-1.653949991,149.9757667,172,Murat Rural LLG,Kavieng District,New Ireland Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYEO,Emo River Airstrip,small_airport,-9.1234,148.0415,2240,Kokoda Rural LLG,Sohe District,Northern (Oro) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYEN,Engati Airstrip,small_airport,-6.9179,146.1053,3715,Kome Rural LLG,Menyamya District,Morobe Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0007,Erave Airport,small_airport,-6.606463154,143.9002132,3650,Erave Rural LLG,Kagua/Erave District,Southern Highlands Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYER,Erume Airport,small_airport,-8.2538,146.9747,6690,Tapini Rural LLG,Goilala District,Central Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0008,Esa'ala Airport,small_airport,-9.874327023,150.9542084,10,Dobu Rural LLG,Esa'ala District,Milne Bay Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNE,Fane Airport,small_airport,-8.549277778,147.0858333,4500,Woitape Rural LLG,Goilala District,Central Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYFS,Fas Airstrip,small_airport,-3.1983,141.472,1219,Walsa Rural LLG,Vanimo/Green River District,West Sepik (Sandaun) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYFE,Feramin Airport,small_airport,-5.208,141.6988,4655,Telefomin Rural LLG,Telefomin District,West Sepik (Sandaun) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,Finschhafen Airport,small_airport,-6.621750109,147.85405,60,Finschafen Urban LLG,Finschafen District,Morobe Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGG,Fishermans Airfield,closed,-9.5128,147.0505,24,National Capital District,National Capital District,National Capital District,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0065,Fiyak Airstrip,small_airport,-4.6771,141.5666,347,Telefomin Rural LLG,Telefomin District,West Sepik (Sandaun) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYFO,Fogomaiu Airstrip,small_airport,-6.5096,143.0794,737,Mt Bosavi Rural LLG,Nipa/Kutubu District,Southern Highlands Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYFK,Foroko Airstrip,small_airport,-5.3283,144.8944,412,Gama  Rural LLG,UsiNo Bundi District,Madang Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYFR,Frieda River Airport,small_airport,-4.610468,141.960138,217,Tunap/Hustein LLG,Ambunti/Drekikier District,East Sepik Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0066,Fugwa Airstrip,small_airport,-5.7169,142.6968,6100,North Koroba Rural LLG,Koroba/Kopiago District,Hela Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUB,Fulleborn Airport,small_airport,-6.1518,150.6264,36,Gasmata Rural LLG,Kandrian/Gloucester District,West New Britain Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYFU,Fuma Airport,small_airport,-6.3933,142.4408,466,Nomad Rural LLG,Middle Fly District,Western Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0009,Garaina Airport,small_airport,-7.875625027,147.1412659,2497,Waria Rural LLG,Bulolo District,Morobe Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYGG,Garasa Airport,small_airport,-7.980713,147.213461,2539,Waria Rural LLG,Bulolo District,Morobe Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRH,Garuahi Airport,closed,-10.225149,150.487667,50,Maramatana Rural LLG,Alotau District,Milne Bay Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-GMI,Gasmata Island Airport,small_airport,-6.271110058,150.3309937,23,Gasmata Rural LLG,Kandrian/Gloucester District,West New Britain Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYGS,Gasuke Airport,small_airport,-6.1028,141.7393,157,Kiunga Rural LLG,North Fly District,Western Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYGQ,Gawa Airstrip,small_airport,-5.259,142.233,6500,Oksapmin Rural LLG,Telefomin District,West Sepik (Sandaun) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYGE,Geigorobi Airstrip,small_airport,-4.1055,143.3056,74,Burui/Kunai Rural LLG,Wosera Gawi District,East Sepik Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYGM,Gema Airstrip,small_airport,-6.8032,145.7756,1675,Yelia Rural LLG,Obura/Wonenara District,Eastern Highlands Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEW,Gewoia Airport,small_airport,-9.2263,148.4949,340,Afore Rural LLG,Ijivitari District,Northern (Oro) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYGD,Gimi Airstrip,small_airport,-6.6482,145.4003,5096,West Okapa Rural LLG,Okapa District,Eastern Highlands Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0067,Giramben Airstrip,small_airport,-5.7835,144.5568,5128,North Waghi Rural LLG,North Waghi District,Jiwaka Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYGR,Girua Airport,medium_airport,-8.80453968,148.3090057,311,Popondetta Urban LLG,Ijivitari District,Northern (Oro) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWN,Gnarowein Airport,closed,-6.555,146.248,525,Onga/Waffa Rural LLG,Markham District,Morobe Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0010,Gobe Airport,small_airport,-6.8782,143.7219,194,West Kikori Rural LLG,Kikori District,Gulf Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYGO,Gokto Airstrip,small_airport,-4.9136,144.49,259,Arabaka Rural LLG,Middle Ramu District,Madang Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOC,Gora Airstrip,small_airport,-9.0021,148.2364,2497,Afore Rural LLG,Ijivitari District,Northern (Oro) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYGA,Goroka Airport,medium_airport,-6.081689835,145.3919983,5282,Goroka Urban LLG,Goroka District,Eastern Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-GVI,Green River Airport,small_airport,-3.902242899,141.170517,281,Green River Rural LLG,Vanimo/Green River District,West Sepik (Sandaun) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYGF,Guari Airport,small_airport,-8.1286,146.8722,6450,Guari Rural LLG,Goilala District,Central Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZ,Guasopa Airport,small_airport,-9.225918,152.944352,10,Murua Rural LLG,Samarai-Murua District,Milne Bay Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYGY,Guavi Airstrip,small_airport,-6.87,142.7537,303,Bamu Rural LLG,Middle Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0043,Gubam Airstrip,small_airport,-8.608765,141.919638,120,Morehead Rural LLG,South Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0042,Gubil Airstrip,small_airport,-4.883308,141.525381,2200,Telefomin Rural LLG,Telefomin District,West Sepik (Sandaun) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYGH,Guhu Airstrip,small_airport,-5.6957,146.1116,3,Rai Coast Rural LLG,Rai Coast District,Madang Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLP,Gulgubip Airport,small_airport,-5.2808,141.5411,4900,Olsobip Rural LLG,North Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUE,Guriaso (Keraso) Airport,small_airport,-3.583167,141.5895,400,Amanab Rural LLG,Vanimo/Green River District,West Sepik (Sandaun) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYGN,Gurney Airport,medium_airport,-10.3114996,150.3339996,88,Huhu Rural LLG,Alotau District,Milne Bay Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYGP,Gusap Airport,small_airport,-6.053196,145.959047,1504,Umi/Atzera Rural LLG,Markham District,Morobe Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYGW,Guwasa Airport,small_airport,-6.465838,145.083968,4800,Unavi Rural LLG,Lufa District,Eastern Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYHB,Habi Airport,small_airport,-6.32,142.4893,993,Nomad Rural LLG,Middle Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYHN,Habina Airstrip,small_airport,-6.6671,146,6200,Lamari Rural LLG,Obura/Wonenara District,Eastern Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEO,Haelogo Airport,small_airport,-9.13658,147.598434,3217,Koiari Rural LLG,Kairuku - Hiri District,Central Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYHW,Haewenai Airstrip,small_airport,-5.7219,141.3205,220,Ningerum Rural LLG,North Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYHA,Haia Airport,small_airport,-6.707421,144.997398,2434,Karimui Rural LLG,Karimui/Nomane District,Chimbu (Simbu) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYHO,Haivaro Airport,small_airport,-6.9406,143.059,180,West Kikori Rural LLG,Kikori District,Gulf Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAZ,Hatzfeldhaven Airport,small_airport,-4.4033,145.2056,26,Almami Rural LLG,Bogia District,Madang Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYHQ,Hauna Airstrip,small_airport,-4.2994,142.2305,73,Ambunti Rural LLG,Ambunti/Drekikier District,East Sepik Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWA,Hawabango Airport,small_airport,-7.392994,146.003487,4563,Kaintiba Rural LLG,Kerema District,Gulf Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-HYF,Hayfields Airport,small_airport,-3.69838,143.057902,466,Maprik/Wora Rural LLG,Maprik District,East Sepik Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYHE,Heiweni Airport,small_airport,-7.4223,146.4276,3480,Kapao Rural LLG,Menyamya District,Morobe Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYHX,Herowena Airstrip,small_airport,-6.6229,145.1972,4695,Unavi Rural LLG,Lufa District,Eastern Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYHL,Hesalibi Airstrip,small_airport,-6.6,142.3502,305,Nomad Rural LLG,Middle Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYHJ,Hewa Airstrip,small_airport,-5.1914,142.9595,5000,Paiela/Hewa Rural LLG,Lagaip/Pogera District,Enga Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYHT,Hotmin Airstrip,small_airport,-4.5845,141.5742,196,Tunap/Hustein LLG,Ambunti/Drekikier District,East Sepik Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYHY,Huya Airstrip,small_airport,-6.2734,142.7061,2611,Mt Bosavi Rural LLG,Nipa/Kutubu District,Southern Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYIU,Ialibu Airport,small_airport,-6.2782,143.9944,6736,Ialibu Urban LLG,Ialibu/Pangia District,Southern Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMA,Iamalele Airport,small_airport,-9.5107,150.5246,40,West Ferguson Rural LLG,Esa'ala District,Milne Bay Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYIB,Ibil Airstrip,small_airport,-4.6828,141.0316,870,Yapsie Rural LLG,Telefomin District,West Sepik (Sandaun) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBI,Iboki Airport,small_airport,-5.5536,149.19,13,Kove/Kaliai Rural LLG,Kandrian/Gloucester District,West New Britain Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0068,Idam Airstrip,small_airport,-4.1432,141.2592,211,Green River Rural LLG,Vanimo/Green River District,West Sepik (Sandaun) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-IHU,Ihu Airport,small_airport,-7.89756012,145.3959961,70,Ihu Rural LLG,Kikori District,Gulf Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILX,Ileg Airport,closed,-5.4917,145.8022,60,Astrolabe Bay Rural LLG,Rai Coast District,Madang Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYII,Imane Airport,small_airport,-6.7524,146.1072,3860,Onga/Waffa Rural LLG,Markham District,Morobe Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYIO,Imonda Airport,small_airport,-3.328,141.1573,990,Walsa Rural LLG,Vanimo/Green River District,West Sepik (Sandaun) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYIR,Inaru Airstrip,small_airport,-4.6316,142.8913,178,Karawari Rural LLG,Angoram District,East Sepik Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indagen Airport,small_airport,-6.22663,147.244,5788,Komba Rural LLG,Kabwum District,Morobe Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUS,Inus Airport,closed,-5.7568,155.1498,50,Wakunai LLG,Central Bougainville District,AutoNomous Region of Bougainville,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOK,Iokea Airport,small_airport,-8.401,146.277,39,East Kerema Rural LLG,Kerema District,Gulf Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOP,Ioma Airport,small_airport,-8.3614,147.84,95,Tamata Rural LLG,Sohe District,Northern (Oro) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYIP,Iropena Airstrip,small_airport,-5.0333,143.87084,5190,Wapi-Yengis Rural LLG,Kompiam District,Enga Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYIS,Isan Airstrip,small_airport,-5.9781,146.61975,6955,Yus Rural LLG,Kabwum District,Morobe Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYIT,Iteri Airstrip,small_airport,-4.2418,141.5234,242,Tunap/Hustein LLG,Ambunti/Drekikier District,East Sepik Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITK,Itokama Airport,small_airport,-9.201527,148.264261,2563,Afore Rural LLG,Ijivitari District,Northern (Oro) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-JAQ,JacquiNot Bay Airport,small_airport,-5.652500153,151.5070038,136,West Pomio/Mamusi Rural LLG,Pomio District,East New Britain Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0029,Jangit Airstrip,small_airport,-4.336666667,144.4806944,30,Marienberg Rural LLG,Angoram District,East Sepik Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOP,Josephstaal Airport,small_airport,-4.747083333,145.0070833,250,Josephstaal Rural LLG,Middle Ramu District,Madang Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0030,Junkaral Airstrip,small_airport,-5.423166667,145.0100278,485,Bundi Rural LLG,UsiNo Bundi District,Madang Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0031,Kabori Airstrip,small_airport,-3.321611111,141.8584167,2090,West Wapei Rural LLG,Aitape/Lumi District,West Sepik (Sandaun) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBM,Kabwum,small_airport,-6.155472222,147.1914722,4450,Selepet Rural LLG,Kabwum District,Morobe Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0039,Kafa Airstrip,small_airport,-6.586888889,143.515,1850,Lake Kutubu Rural LLG,Nipa/Kutubu District,Southern Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYKL,Kafle Airstrip,small_airport,-3.75,142.59,850,Mawase Rural LLG,Nuku District,West Sepik (Sandaun) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KGW,Kagi Airport,small_airport,-9.135916667,147.6694444,4200,Koiari Rural LLG,Kairuku - Hiri District,Central Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGK,Kagua Airport,small_airport,-6.396388889,143.8536111,5350,Kagua Rural LLG,Kagua/Erave District,Southern Highlands Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIA,Kaiapit Airport,closed,-6.275,146.27,1030,Umi/Atzera Rural LLG,Markham District,Morobe Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0040,Kaibo Airstrip,small_airport,-6.371111111,143.1725,2880,Lake Kutubu Rural LLG,Nipa/Kutubu District,Southern Highlands Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KZF,Kaintiba Airport,small_airport,-7.50025,146.0338333,2050,Kaintiba Rural LLG,Kerema District,Gulf Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0041,Kairik Airstrip,small_airport,-5.44625,143.1698889,7340,Porgera Rural LLG,Lagaip/Pogera District,Enga Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYKZ,Kairiru Airstrip,small_airport,-3.3687,143.5546,60,Wewak Islands Rural LLG,Wewak District,East Sepik Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKU,Kairuku Airport,small_airport,-8.817000054,146.5243833,45,Kairuku Rural LLG,Kairuku - Hiri District,Central Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYUD,Kais-Udave Helicopter landing site,heliport,-8.7819,147.2785,3300,Woitape Rural LLG,Goilala District,Central Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,Kakoro(Koroko) Airstrip,small_airport,-7.834666667,146.5335,230,Lakekamu-Tauri Rural LLG,Kerema District,Gulf Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDQ,Kamberatoro Airport,small_airport,-3.600556,141.051667,1350,Amanab Rural LLG,Vanimo/Green River District,West Sepik (Sandaun) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMF,Kamina Airport,small_airport,-7.64925,145.9569444,2157,Kotidanga Rural LLG,Kerema District,Gulf Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KJU,Kamiraba Airport,closed,-3.1995,151.9077,40,Sentral Niu Ailan Rural LLG,Namatanai District,New Ireland Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAQ,Kamulai Airport,small_airport,-8.150694444,146.834,5800,Guari Rural LLG,Goilala District,Central Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-KUY,Kamusi Airport,small_airport,-7.420347,143.121811,97,Bamu Rural LLG,Middle Fly District,Western Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEX,Kanabea Airport,small_airport,-7.538888889,145.905,4288,Kotidanga Rural LLG,Kerema District,Gulf Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYKJ,Kanainj Airport,small_airport,-5.2903,144.7072,4064,Gama  Rural LLG,UsiNo Bundi District,Madang Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDP,Kandep Airport,small_airport,-5.840611111,143.5072222,7710,Kandep Rural LLG,Kandep District,Enga Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-KDR,Kandrian Airport,small_airport,-6.19217,149.54783,280,Kandrian Coastal Rural LLG,Kandrian/Gloucester District,West New Britain Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYNT,Kantobo Airstrip,small_airport,-6.7227,143.5636,1385,Lake Kutubu Rural LLG,Nipa/Kutubu District,Southern Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0091,Kapaimeri Airstrip,small_airport,-4.2028,143.2767,30,Gawi Rural LLG,Wosera Gawi District,East Sepik Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPL,Kapal Airport,small_airport,-8.630184,142.823756,170,Oriomo-Bituri Rural LLG,South Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYPI,Kapi Airstrip,small_airport,-6.371,144.6839,3408,Karimui Rural LLG,Karimui/Nomane District,Chimbu (Simbu) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAK,Kar Airport,small_airport,-6.2452,143.5516,4965,Poroma Rural LLG,Nipa/Kutubu District,Southern Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYKR,Kar Kar Airport,small_airport,-4.557,145.9404,130,Karkar Rural LLG,Sumkar District,Madang Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAF,Karato Airport,small_airport,-6.2655,155.3052,109,Arawa LLG,Central Bougainville District,AutoNomous Region of Bougainville,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRJ,Karawari Airstrip,small_airport,-4.596666667,143.5225,70,Karawari Rural LLG,Angoram District,East Sepik Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYRI,Karimui Airport,small_airport,-6.4921,144.823,3640,Karimui Rural LLG,Karimui/Nomane District,Chimbu (Simbu) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-KXR,Karoola Airport,closed,-5.1431,154.5928,52,Buka LLG,North Bougainville District,AutoNomous Region of Bougainville,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYNM,KasoNombe Airport,small_airport,-6.3819,146.9859,5800,Nabak Rural LLG,Nawae District,Morobe Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0085,Kauaia Airstrip,closed,-3.758,142.9777,375,North Wosera Rural LLG,Wosera Gawi District,East Sepik Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0089,Kaup Airstrip,closed,-3.8033,143.987,100,Marienberg Rural LLG,Angoram District,East Sepik Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYKV,Kavieng Airport,medium_airport,-2.579400063,150.8079987,7,Kavieng Urban LLG,Kavieng District,New Ireland Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-KWO,Kawito Airport,small_airport,-7.977006912,142.8235779,72,Gogodala Rural LLG,Middle Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEG,Keglsugl Airport,small_airport,-5.832777778,145.0972222,8400,Mitnande Rural LLG,Kundiawa/Gembogl District,Chimbu (Simbu) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0069,Kelabo Airstrip,small_airport,-5.5659,142.5666,5562,North Koroba Rural LLG,Koroba/Kopiago District,Hela Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNL,KelaNoa Airport,closed,-6.01,147.49,40,Sialum Rural LLG,Tawae/Siassi District,Morobe Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
